HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
2,9,3,13,6,5,5,9,0,2,1325.98356688364,1478.6247095814401,0
10,3,7,6,6,8,6,8,2,3,1491.6949363722501,1321.56713014186,1
4,9,2,11,8,6,3,8,0,0,1516.4136218254098,1512.80849525892,0
7,6,4,9,4,6,3,11,2,0,1270.73279985504,1373.37139391032,0
9,4,8,5,7,7,3,8,2,2,1727.22394749837,1370.97393804414,1
4,11,5,6,11,1,8,6,2,2,1452.64955605729,1547.73608902395,1
13,1,11,2,8,6,9,2,3,1,1662.89661866798,1492.0403754672302,0
7,5,4,9,6,10,4,8,1,2,1501.6890183565301,1396.14537205107,1
6,9,5,5,5,6,5,10,1,1,1491.7458762535098,1505.01562078759,0
10,3,7,5,3,10,3,10,2,1,1672.58568695604,1386.48520777917,1
6,8,6,9,6,5,6,9,2,2,1309.95149637785,1480.9588118172599,1
11,3,7,6,10,2,14,1,3,3,1482.2573253696398,1563.62725633199,1
13,1,7,7,6,10,5,5,2,0,1674.8286772549698,1509.5243259555898,1
4,10,2,11,8,5,6,7,0,1,1527.6684967270999,1419.0310190009,0
3,10,3,11,3,10,3,11,2,0,1294.02563778889,1393.16407365882,1
10,3,5,8,8,6,4,8,2,1,1559.12710232482,1537.2653228967001,1
3,10,3,11,7,8,6,9,1,2,1393.2038744668398,1326.02436694457,1
8,6,10,2,10,1,7,6,2,1,1529.56813820495,1558.25019942229,0
11,3,6,5,8,6,4,9,3,1,1644.86918427461,1535.5308755660099,1
7,7,4,9,11,3,7,5,1,2,1430.94271364464,1624.06773470222,0
3,9,7,6,4,11,2,11,0,0,1500.56935991595,1522.6192762003,0
8,5,4,9,5,11,5,6,1,2,1517.84816820936,1457.7451032766,1
14,0,6,8,11,1,8,7,2,1,1693.0898971933898,1463.53472618192,0
5,6,6,10,2,10,3,13,2,0,1509.54744402077,1351.7752503224401,1
4,6,4,11,6,10,4,9,1,1,1437.42383874904,1393.0513191041198,0
3,10,3,12,11,3,5,8,0,3,1362.49142062091,1538.0883598164098,0
14,1,7,7,10,4,8,5,2,2,1716.5090873184301,1715.7062177015302,0
13,2,11,2,10,2,14,2,2,2,1667.29670903068,1607.51042448328,1
7,7,3,9,8,5,7,7,1,2,1375.90349007311,1415.5420794275303,1
10,1,8,6,7,8,4,9,1,1,1638.3733375763097,1383.2018455890802,1
4,10,3,11,5,11,5,7,1,2,1384.43726121791,1449.08798438911,1
12,3,6,5,3,10,7,6,3,0,1644.9033085208898,1533.09277173768,1
2,10,3,14,4,11,3,11,0,1,1340.43496693425,1514.78132871265,1
12,3,7,6,6,5,6,10,3,1,1493.8078338201901,1485.7859598410098,1
11,1,9,7,4,10,3,11,2,2,1519.0029572434698,1295.93528558961,1
9,5,4,9,6,10,5,6,2,0,1512.63264344914,1507.0448375012302,1
14,1,6,8,8,7,10,2,1,1,1702.08168960931,1537.66489674465,0
6,6,6,10,8,6,4,10,2,1,1505.4168865925799,1540.3420898989002,1
11,3,8,5,4,7,4,11,3,1,1543.0135204845599,1501.27239119174,1
8,5,7,8,3,11,3,12,2,0,1453.97563507354,1368.79605381171,1
7,8,6,10,11,3,6,8,1,3,1320.47607384193,1520.86287748835,0
7,8,4,10,6,10,5,9,0,2,1383.6453325643,1376.0896499205498,0
5,11,5,8,6,5,6,11,1,1,1432.5741449303,1495.52156526193,1
4,10,3,12,14,2,11,2,1,2,1302.2520899709698,1680.3044417259698,0
14,2,6,8,4,7,4,12,0,1,1702.4083124696099,1499.34597298638,1
6,10,5,7,10,4,9,5,0,2,1506.09811195989,1728.9002641084198,0
7,6,6,10,3,10,7,7,3,0,1510.75553520005,1539.08409593239,1
8,7,3,9,14,2,7,7,2,1,1380.8553411062198,1721.2331259602697,0
11,1,8,6,7,9,6,10,2,1,1659.5858132940698,1331.46823862671,1
10,2,14,3,13,3,6,5,1,3,1683.12462605051,1645.9283322939498,0
14,2,12,2,13,3,7,6,2,3,1677.88751585388,1496.18952454966,1
10,5,4,9,14,2,8,7,3,2,1532.24781305359,1721.2846861747198,1
12,3,8,5,8,7,11,2,3,2,1590.69641552789,1559.3614518491102,1
5,10,3,11,3,11,3,13,2,0,1382.84297291886,1420.53358925786,1
7,9,4,10,15,2,6,8,0,1,1421.55660343391,1699.05348433007,0
3,10,3,14,3,10,7,8,1,0,1348.3703900076598,1528.0542144625301,1
13,3,7,7,13,3,8,5,2,3,1492.3916255927302,1529.3498899426902,1
6,11,5,8,8,8,3,9,1,1,1418.21042150916,1380.6770889622198,0
12,1,9,7,11,3,7,8,2,3,1506.75652596589,1518.08473902421,1
4,11,3,12,4,7,4,13,1,0,1320.25231678242,1499.54056116639,0
8,6,4,11,6,10,6,9,0,2,1539.62784429249,1378.39901123236,1
6,11,5,7,13,3,7,5,0,3,1491.97047841602,1661.3838402662302,0
8,6,6,10,4,11,3,12,3,1,1508.4959248144698,1512.35787087918,0
6,5,6,12,10,4,10,5,0,3,1481.9698108724099,1726.9178239555802,0
13,3,8,5,4,11,4,12,3,2,1664.37427923057,1523.45108983435,0
4,10,3,14,10,4,11,5,2,3,1340.23725064799,1719.52586581936,1
10,3,14,3,14,2,8,8,0,1,1676.3987007435098,1720.14777602778,0
15,2,7,8,15,2,12,2,2,3,1663.1646172472501,1693.20795894085,1
13,3,8,6,12,1,8,6,2,3,1537.34573213042,1600.3637915635002,0
9,5,7,8,4,12,3,12,2,0,1375.20857192743,1278.4488299278999,0
