date,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,is_home_winner,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game
2019-11-15,Golden State,1610612744,100,Boston,1610612738,105,0,2,10,100.8076923076923,110.72307692307692,9,1,104.55454545454545,96.2090909090909
2019-11-15,Houston,1610612745,111,Indiana,1610612754,102,1,8,3,107.75,105.40000000000002,7,4,99.3,94.34999999999998
2019-11-15,LA Lakers,1610612747,99,Sacramento,1610612758,97,1,9,2,100.55,91.51666666666665,4,6,94.98181818181818,99.3
2019-11-15,Memphis,1610612763,107,Utah,1610612762,106,1,4,7,99.88333333333333,107.96666666666665,8,3,94.86666666666667,90.28333333333335
2019-11-15,Minnesota,1610612750,116,Washington,1610612764,137,0,7,4,106.43333333333332,105.48333333333335,2,7,103.0,107.0
2019-11-15,Oklahoma City,1610612760,127,Philadelphia,1610612755,119,1,4,7,95.51666666666665,96.18333333333332,7,4,98.48333333333335,96.11666666666667
2019-11-15,Orlando,1610612753,111,San Antonio,1610612759,109,1,4,7,90.05,89.81666666666668,5,6,102.01666666666665,103.65000000000002
2019-11-16,Chicago,1610612741,111,Brooklyn,1610612751,117,0,4,8,98.16153846153847,101.0,4,7,106.05,108.55
2019-11-16,Dallas,1610612742,110,Toronto,1610612761,102,1,6,5,103.63333333333333,101.40000000000002,8,3,102.3,96.73333333333335
2019-11-16,Indiana,1610612754,83,Milwaukee,1610612749,102,0,7,5,99.41538461538461,95.55384615384615,8,3,109.3,101.78333333333335
2019-11-16,LA Clippers,1610612746,150,Atlanta,1610612737,101,1,7,5,101.96153846153847,99.23076923076923,4,7,97.08333333333333,101.40000000000002
2019-11-16,Miami,1610612748,109,New Orleans,1610612740,94,1,8,3,101.11666666666667,95.16666666666667,3,8,107.46666666666665,111.61666666666667
2019-11-16,Minnesota,1610612750,105,Houston,1610612745,125,0,7,5,107.12307692307694,107.88461538461539,9,3,107.88461538461539,105.12307692307694
2019-11-16,New York,1610612752,102,Charlotte,1610612766,103,0,3,9,91.35384615384616,100.27692307692308,5,7,97.77692307692308,103.35384615384616
2019-11-16,San Antonio,1610612759,116,Portland,1610612757,121,0,5,7,102.47692307692309,104.1923076923077,4,8,102.49230769230768,104.17692307692307
2019-11-17,Cleveland,1610612739,95,Philadelphia,1610612755,114,0,4,7,95.48333333333335,97.2,7,5,100.03076923076922,98.3923076923077
2019-11-17,LA Lakers,1610612747,122,Atlanta,1610612737,101,1,10,2,100.41538461538461,91.83076923076922,4,8,97.33076923076922,105.11538461538461
2019-11-17,Memphis,1610612763,114,Denver,1610612743,131,0,5,7,100.33076923076922,107.72307692307692,8,3,94.98333333333335,92.40000000000002
2019-11-17,New Orleans,1610612740,108,Golden State,1610612744,100,1,3,9,106.3923076923077,111.3076923076923,2,11,100.65714285714286,110.28571428571429
2019-11-17,Orlando,1610612753,125,Washington,1610612764,121,1,5,7,91.58461538461539,91.1923076923077,3,7,106.0,107.73636363636363
2019-11-17,Sacramento,1610612758,100,Boston,1610612738,99,1,4,7,95.06666666666668,99.15000000000002,10,1,104.55,96.46666666666665
2019-11-18,Brooklyn,1610612751,86,Indiana,1610612754,115,0,5,7,106.88461538461539,108.65384615384616,7,6,98.1857142857143,95.95714285714284
2019-11-18,Chicago,1610612741,101,Milwaukee,1610612749,115,0,4,9,98.98571428571428,102.08571428571429,9,3,108.65384615384616,100.23076923076923
2019-11-18,Dallas,1610612742,117,San Antonio,1610612759,110,1,7,5,104.1,101.33846153846153,5,8,103.34285714285714,105.24285714285713
2019-11-18,Houston,1610612745,132,Portland,1610612757,108,1,10,3,109.07142857142857,104.98571428571428,5,8,103.78571428571429,104.97142857142858
2019-11-18,LA Clippers,1610612746,90,Oklahoma City,1610612760,88,1,8,5,105.37142857142858,99.3142857142857,5,7,97.83076923076922,97.87692307692306
2019-11-18,New York,1610612752,123,Cleveland,1610612739,105,1,3,10,92.01428571428572,100.4,4,8,95.42307692307692,98.33846153846153
2019-11-18,Phoenix,1610612756,85,Boston,1610612738,99,0,7,4,106.81666666666668,100.34999999999998,10,2,103.98461538461538,96.66153846153847
2019-11-18,Toronto,1610612761,132,Charlotte,1610612766,96,1,8,4,102.14615384615384,97.71538461538461,6,7,98.04285714285716,103.17142857142856
2019-11-18,Utah,1610612762,102,Minnesota,1610612750,112,0,8,4,95.65384615384616,91.48461538461538,7,6,106.9,109.01428571428572
2019-11-19,LA Lakers,1610612747,112,Oklahoma City,1610612760,107,1,11,2,101.9,92.45714285714284,5,8,97.05714285714285,97.2
2019-11-19,Memphis,1610612763,95,Golden State,1610612744,114,0,5,8,101.21428571428571,109.25714285714287,2,12,100.5,110.06666666666666
2019-11-19,New Orleans,1610612740,115,Portland,1610612757,104,1,4,9,106.38571428571427,110.47142857142858,5,9,103.96666666666667,106.63333333333334
2019-11-19,Sacramento,1610612758,120,Phoenix,1610612756,116,1,5,7,95.36923076923077,99.07692307692308,7,5,105.07692307692308,100.16923076923078
2019-11-20,Atlanta,1610612737,127,Milwaukee,1610612749,135,0,4,9,97.52857142857142,106.25714285714287,10,3,108.95714285714284,100.22857142857143
2019-11-20,Brooklyn,1610612751,101,Charlotte,1610612766,91,1,5,8,105.28571428571429,109.1,6,8,97.83333333333333,105.06666666666666
2019-11-20,Chicago,1610612741,109,Detroit,1610612765,89,1,4,10,99.03333333333333,102.86666666666666,4,9,99.94285714285715,103.21428571428571
2019-11-20,Dallas,1610612742,142,Golden State,1610612744,94,1,8,5,104.95714285714284,101.88571428571427,3,12,101.325,109.025
2019-11-20,Denver,1610612743,105,Houston,1610612745,95,1,9,3,97.72307692307692,93.99230769230768,11,3,110.56666666666666,105.1
2019-11-20,LA Clippers,1610612746,107,Boston,1610612738,104,1,9,5,104.26666666666667,98.46666666666667,11,2,103.57142857142857,95.75714285714287
2019-11-20,Miami,1610612748,124,Cleveland,1610612739,100,1,9,3,101.66153846153847,95.00769230769232,4,9,95.95714285714284,100.04285714285716
