HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_RATING,AWAY_TEAM_RATING,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.4,0.5,0.429,0.6,0.3666666666666667,0.033333333333333326,98,103,95,100,1
0.5,0.6,0.2,0.167,0.8666666666666667,0.5666666666666667,102,108,90,102,0
0.5,0.375,0.857,0.8,0.7333333333333334,0.7666666666666666,91,100,114,97,0
0.4,0.429,0.2,0.333,0.09999999999999998,0.19999999999999996,101,101,102,109,1
0.167,0.2,0.6,0.571,0.06666666666666665,0.6333333333333333,91,104,100,97,0
0.5,0.5,0.75,0.571,0.8,1.0,103,102,102,91,0
0.25,0.25,0.6,0.667,0.23333333333333328,0.2666666666666667,102,110,99,96,1
0.714,0.4,0.5,0.571,0.8333333333333334,0.1333333333333333,97,90,96,89,1
0.2,0.833,0.857,0.833,0.4666666666666667,0.7666666666666666,100,99,113,95,0
0.5,0.4,0.714,0.4,0.6,0.9333333333333333,102,102,105,103,1
0.429,0.5,0.625,0.833,0.16666666666666663,0.43333333333333335,101,98,104,100,1
0.667,0.5,0.6,0.429,0.6666666666666667,0.5,101,99,101,99,1
0.5,0.5,0.2,0.286,0.7,0.19999999999999996,102,103,101,108,1
0.5,0.5,0.429,0.6,0.3666666666666667,0.8666666666666667,99,103,102,108,1
0.571,0.5,0.167,0.833,0.9,0.4666666666666667,95,95,102,103,1
0.4,0.375,0.429,0.5,0.7333333333333334,0.8,90,100,103,103,1
0.333,0.571,0.857,0.6,0.4,0.30000000000000004,100,100,104,95,0
0.667,0.5,0.143,0.2,0.9666666666666667,0.06666666666666665,114,107,92,106,1
0.5,0.429,0.5,0.5,0.09999999999999998,0.1333333333333333,101,101,95,90,1
0.333,0.25,0.2,0.286,0.23333333333333328,0.5666666666666667,102,108,92,102,1
0.6,0.625,0.333,0.167,0.6333333333333333,0.33333333333333337,102,97,104,112,1
0.857,0.857,0.2,0.25,0.7666666666666666,0.5666666666666667,114,97,94,103,1
0.429,0.5,0.571,0.5,0.8666666666666667,0.7,101,108,100,101,0
0.714,0.333,0.6,0.571,0.9333333333333333,0.2666666666666667,105,105,98,96,1
0.429,0.5,0.857,0.667,0.033333333333333326,0.30000000000000004,96,101,102,94,1
0.571,0.4,0.571,0.5,0.6,0.3666666666666667,104,102,100,102,1
